Name,Address,City,State,Zip Code,Phone Number,Full Address,Rating,Review Count,URL
One Embarcadero South,88 King St,San Francisco,CA,94107,+1-415-281-0351,"88 King St,Embarcadero,San Francisco, CA 94107",4.5,4,http://www.yelp.com/biz/one-embarcadero-south-san-francisco
AVA 55 Ninth,55 Ninth Street,San Francisco,CA,94103,+1-415-294-8969,"55 Ninth Street,SoMa,San Francisco, CA 94103",4.0,20,http://www.yelp.com/biz/ava-55-ninth-san-francisco
Ashton San Francisco Luxury Apartment Homes,301 Executive Park Blvd.,San Francisco,CA,94134,+1-877-513-7713,"301 Executive Park Blvd.,Bayview-Hunters Point,San Francisco, CA 94134",4.5,35,http://www.yelp.com/biz/ashton-san-francisco-luxury-apartment-homes-san-francisco
Parc Telegraph,240 Lombard St,San Francisco,CA,94111,+1-415-981-3537,"240 Lombard St,North Beach/Telegraph Hill,San Francisco, CA 94111",5.0,4,http://www.yelp.com/biz/parc-telegraph-san-francisco
The Presidio Landmark,1801 Wedemeyer,San Francisco,CA,94129,+1-877-424-0872,"1801 Wedemeyer,Presidio,San Francisco, CA 94129",4.5,8,http://www.yelp.com/biz/the-presidio-landmark-san-francisco
The Palms,555 4th St,San Francisco,CA,94107,+1-415-777-6613,"555 4th St,SoMa,San Francisco, CA 94107",3.5,24,http://www.yelp.com/biz/the-palms-san-francisco
Bayside Village,3 Bayside Village Pl,San Francisco,CA,94107,+1-415-777-4850,"3 Bayside Village Pl,SoMa,San Francisco, CA 94107",3.5,66,http://www.yelp.com/biz/bayside-village-san-francisco
Sutter House,1140 Sutter St,San Francisco,CA,94109,+1-415-673-0500,"1140 Sutter St,Lower Nob Hill,San Francisco, CA 94109",4.5,8,http://www.yelp.com/biz/sutter-house-san-francisco-2
Ritz-Carlton Club & Residences,690 Market St,San Francisco,CA,94104,+1-415-781-9000,"690 Market St,Financial District,San Francisco, CA 94104",5.0,13,http://www.yelp.com/biz/ritz-carlton-club-and-residences-san-francisco
Avalon Hayes Valley,325 Octavia Boulevard,San Francisco,CA,94102,+1-415-403-2521,"325 Octavia Boulevard,Hayes Valley,San Francisco, CA 94102",4.5,3,http://www.yelp.com/biz/avalon-hayes-valley-san-francisco
One Hawthorne,645 Howard St,San Francisco,CA,94105,+1-415-227-0888,"645 Howard St,Financial District,San Francisco, CA 94105",4.0,3,http://www.yelp.com/biz/one-hawthorne-san-francisco-2
Soma Grand Residential Condos,1160 Mission St,San Francisco,CA,94103,+1-877-720-8989,"1160 Mission St,SoMa,San Francisco, CA 94103",3.5,23,http://www.yelp.com/biz/soma-grand-residential-condos-san-francisco
200 Dolores,200 Dolores St,San Francisco,CA,94103,+1-415-901-1795,"200 Dolores St,Castro,San Francisco, CA 94103",5.0,1,http://www.yelp.com/biz/200-dolores-san-francisco
Strata at Mission Bay,1201 4th St,San Francisco,CA,94158,+1-415-431-1800,"1201 4th St,SoMa,San Francisco, CA 94158",3.5,27,http://www.yelp.com/biz/strata-at-mission-bay-san-francisco-2
Apartments at Marina Cove,1550 Bay St,San Francisco,CA,94123,+1-415-474-0333,"1550 Bay St,Marina/Cow Hollow,San Francisco, CA 94123",4.5,8,http://www.yelp.com/biz/apartments-at-marina-cove-san-francisco
Apartments at 2000 Broadway,2000 Broadway St,San Francisco,CA,94115,+1-415-563-6333,"2000 Broadway St,Pacific Heights,San Francisco, CA 94115",4.0,5,http://www.yelp.com/biz/apartments-at-2000-broadway-san-francisco
2000 Post Luxury Apartment Homes,2000 Post St,San Francisco,CA,94115,+1-877-491-4833,"2000 Post St,Lower Pacific Heights,San Francisco, CA 94115",3.0,99,http://www.yelp.com/biz/2000-post-luxury-apartment-homes-san-francisco
The Hamilton Condominiums,631 Ofarrell St,San Francisco,CA,94109,+1-415-749-2733,"631 Ofarrell St,Tenderloin,San Francisco, CA 94109",4.5,11,http://www.yelp.com/biz/the-hamilton-condominiums-san-francisco
925 Jones Apartments,925 Jones Street,San Francisco,CA,94109,+1-415-673-7619,"925 Jones Street,Nob Hill,San Francisco, CA 94109",5.0,2,http://www.yelp.com/biz/925-jones-apartments-san-francisco
Carillon Towers,1100 Gough St,San Francisco,CA,94109,+1-415-474-5494,"1100 Gough St,Fillmore,San Francisco, CA 94109",3.5,11,http://www.yelp.com/biz/carillon-towers-san-francisco
Channel Mission Bay Luxury Apartment Homes,185 Channel Street,San Francisco,CA,94158,+1-877-813-9156,"185 Channel Street,SoMa,San Francisco, CA 94158",4.0,30,http://www.yelp.com/biz/channel-mission-bay-luxury-apartment-homes-san-francisco
Carmel Rincon Apartments,88 Howard St,San Francisco,CA,94105,+1-888-446-4024,"88 Howard St,Financial District,San Francisco, CA 94105",3.5,67,http://www.yelp.com/biz/carmel-rincon-apartments-san-francisco
Nob Hill Place,1155 Jones St,San Francisco,CA,94109,+1-415-440-1155,"1155 Jones St,Nob Hill,San Francisco, CA 94109",3.5,8,http://www.yelp.com/biz/nob-hill-place-san-francisco-2
Avalon at Mission Bay North,255 King St,San Francisco,CA,94107,+1-415-354-4506,"255 King St,SoMa,San Francisco, CA 94107",3.0,165,http://www.yelp.com/biz/avalon-at-mission-bay-north-san-francisco
Grosvenor Atrium,1690 Broadway Street,San Francisco,CA,94109,+1-415-775-2303,"1690 Broadway Street,Pacific Heights,San Francisco, CA 94109",4.0,5,http://www.yelp.com/biz/grosvenor-atrium-san-francisco
Tower 737 Condominium Rentals,737 Post St,San Francisco,CA,94109,+1-415-787-4485,"737 Post St,Lower Nob Hill,San Francisco, CA 94109",3.5,36,http://www.yelp.com/biz/tower-737-condominium-rentals-san-francisco
Crescent Cove,420 Berry St,San Francisco,CA,94158,+1-415-371-0012,"420 Berry St,SoMa,San Francisco, CA 94158",4.5,3,http://www.yelp.com/biz/crescent-cove-san-francisco
3600 Fillmore St Apartments,3600 Fillmore St,San Francisco,CA,94123,+1-415-922-3372,"3600 Fillmore St,Marina/Cow Hollow,San Francisco, CA 94123",5.0,2,http://www.yelp.com/biz/3600-fillmore-st-apartments-san-francisco
The Negev,219 6th St,San Francisco,CA,94103,+1-347-296-6929,"219 6th St,SoMa,San Francisco, CA 94103",4.5,14,http://www.yelp.com/biz/the-negev-san-francisco-5
St. Francis Square Cooperative,10 Bertie Minor Ln,San Francisco,CA,94115,+1-415-931-7363,"10 Bertie Minor Ln,Fillmore,San Francisco, CA 94115",4.5,6,http://www.yelp.com/biz/st-francis-square-cooperative-san-francisco
The Beacon,260 King St,San Francisco,CA,94107,+1-415-578-3900,"260 King St,SoMa,San Francisco, CA 94107",3.0,31,http://www.yelp.com/biz/the-beacon-san-francisco
The Gateway Apartments,460 Davis Court,San Francisco,CA,94111,+1-866-270-9902,"460 Davis Court,Financial District,San Francisco, CA 94111",3.0,52,http://www.yelp.com/biz/the-gateway-apartments-san-francisco
Lombard Place,1340 Lombard St,San Francisco,CA,94109,+1-415-474-5169,"1340 Lombard St,Russian Hill,San Francisco, CA 94109",4.0,5,http://www.yelp.com/biz/lombard-place-san-francisco
Clay Park Tower,1890 Clay St,San Francisco,CA,94109,+1-844-217-7947,"1890 Clay St,Pacific Heights,San Francisco, CA 94109",3.5,6,http://www.yelp.com/biz/clay-park-tower-san-francisco
One Rincon Hill,425 1st St,San Francisco,CA,94105,+1-415-774-8886,"425 1st St,SoMa,San Francisco, CA 94105",3.5,30,http://www.yelp.com/biz/one-rincon-hill-san-francisco
Union,2125 Bryant Street,San Francisco,CA,94110,+1-415-824-8884,"2125 Bryant Street,Mission,San Francisco, CA 94110",5.0,1,http://www.yelp.com/biz/union-san-francisco-2
Wilson Properties,Inner Richmond,San Francisco,CA,94118,+1-415-386-4648,"Inner Richmond,San Francisco, CA 94118",3.5,12,http://www.yelp.com/biz/wilson-properties-san-francisco
Bay City Suites,88 Howard Street,San Francisco,CA,94105,+1-415-543-9925,"88 Howard Street,Financial District,San Francisco, CA 94105",5.0,2,http://www.yelp.com/biz/bay-city-suites-san-francisco
Grosvenor Court,2055 Sacramento St,San Francisco,CA,94109,+1-415-771-8488,"2055 Sacramento St,Pacific Heights,San Francisco, CA 94109",3.0,6,http://www.yelp.com/biz/grosvenor-court-san-francisco
Geary Courtyard Apartments,639 Geary Street,San Francisco,CA,94102,+1-415-749-0101,"639 Geary Street,Tenderloin,San Francisco, CA 94102",4.5,9,http://www.yelp.com/biz/geary-courtyard-apartments-san-francisco-2
The Granada,1000 Sutter St,San Francisco,CA,94109,+1-415-673-2511,"1000 Sutter St,Lower Nob Hill,San Francisco, CA 94109",3.5,5,http://www.yelp.com/biz/the-granada-san-francisco
